booking_id,booking_date,travel_date,channel,trip_type,cabin,airline,origin,destination,route_band,pax_count,base_fare_usd,taxes_usd,total_usd,cost_usd,profit_usd,booking_status,cancel_reason,lead_time_days,season
BK-000001,2023-02-27,2023-03-02,Online,One-way,PremiumEconomy,WY,SHJ,DAC,Medium,1,419.07,67.32,486.39,498.27,-11.88,Ticketed,,3,Spring
BK-000002,2016-02-17,2016-03-17,Online,One-way,Economy,ME,KWI,BEY,Medium,2,347.28,60.93,408.21,344.55,63.66,Ticketed,,29,Spring
BK-000003,2023-05-17,2023-07-14,WhatsApp,One-way,PremiumEconomy,UK,KWI,CMB,Medium,5,2863.85,522.88,3386.73,3332.14,54.59,Ticketed,,58,Summer
BK-000004,2017-11-18,2017-12-01,WhatsApp,Round-trip,Economy,KU,KWI,CAI,Medium,1,408.23,76.13,484.36,429.55,54.81,Ticketed,,13,Winter
BK-000005,2025-11-17,2025-12-10,WhatsApp,Round-trip,Economy,ET,CMN,YYZ,Long,2,1718.2,194.89,1913.09,1824.66,88.43,Ticketed,,23,Winter
BK-000006,2022-11-07,2022-12-09,Online,Round-trip,PremiumEconomy,6E,KWI,MAA,Medium,5,3194.95,492.59,3687.54,3606.19,81.35,Cancelled,Price issue,32,Winter
BK-000007,2019-08-05,2019-09-06,Corporate,One-way,PremiumEconomy,EK,DXB,BAH,Short,1,195.63,30.09,225.72,212.49,13.23,Ticketed,,32,Autumn
BK-000008,2020-09-05,2020-10-12,Corporate,Multi-city,Economy,SV,KWI,DMM,Short,6,911.46,200.02,1111.48,1015.1,96.38,Ticketed,,37,Autumn
BK-000009,2017-12-10,2018-01-31,Walk-in,Multi-city,Business,G9,KWI,MXP,Long,1,1584.62,208.89,1793.51,1495.82,297.69,Ticketed,,52,Winter
BK-000010,2019-05-25,2019-07-12,WhatsApp,One-way,PremiumEconomy,SV,KWI,AMM,Medium,4,2177.84,229.31,2407.15,2310.75,96.4,Pending,,48,Summer
BK-000011,2019-10-14,2020-01-05,Walk-in,Round-trip,Economy,JQ,BAH,MEL,VeryLong,3,2972.7,415.77,3388.47,2827.78,560.69,Ticketed,,83,Winter
BK-000012,2025-02-05,2025-05-19,Online,Round-trip,Economy,KQ,ALG,AMM,Long,2,2190.96,371.74,2562.7,2110.27,452.43,Cancelled,Customer no-show,103,Spring
BK-000013,2023-12-10,2023-12-26,Walk-in,Multi-city,Business,TK,AUH,SAW,Long,2,4358.8,646.36,5005.16,4844.56,160.6,Pending,,16,Winter
BK-000014,2023-06-21,2023-06-29,Phone,One-way,Economy,SV,RUH,DEL,Medium,4,1978.04,305.9,2283.94,1927.44,356.5,Ticketed,,8,Summer
BK-000015,2019-08-15,2019-10-03,WhatsApp,Round-trip,Business,EK,KWI,LOS,Long,1,1415.44,249.85,1665.29,1447.44,217.85,Ticketed,,49,Autumn
BK-000016,2021-07-28,2021-08-23,Walk-in,One-way,Business,KU,KWI,HAN,Long,4,11196.76,1630.76,12827.52,13196.46,-368.94,Ticketed,,26,Summer
BK-000017,2017-01-26,2017-02-16,Online,Round-trip,Economy,AK,NJF,SGN,Long,1,564.43,57.76,622.19,570.38,51.81,Ticketed,,21,Winter
BK-000018,2023-02-28,2023-04-13,Online,Round-trip,Business,KU,KWI,VIE,Long,4,6754.48,1457.39,8211.87,8271.81,-59.94,Cancelled,Medical issue,44,Spring
BK-000019,2021-07-05,2021-08-25,Corporate,Round-trip,Economy,SV,JED,MAN,Long,2,1870.3,351.1,2221.4,2162.84,58.56,Ticketed,,51,Summer
BK-000020,2022-01-06,2022-02-15,Online,One-way,Economy,FZ,KWI,CMB,Medium,2,1069.48,109.16,1178.64,1141.17,37.47,Ticketed,,40,Winter
BK-000021,2019-03-03,2019-05-04,Phone,Round-trip,Economy,LX,JED,ATH,Long,6,6222.66,1244.01,7466.67,7226.16,240.51,Ticketed,,62,Spring
BK-000022,2018-03-02,2018-04-15,Walk-in,Round-trip,Economy,OS,ATH,TBS,Medium,6,4380.48,598.57,4979.05,4479.08,499.97,Ticketed,,44,Spring
BK-000023,2025-03-14,2025-03-20,Online,One-way,Business,PK,KWI,KHI,Medium,3,4413.96,940.71,5354.67,4952.54,402.13,Ticketed,,6,Spring
BK-000024,2024-09-08,2024-12-20,Walk-in,Round-trip,Economy,BG,KWI,DAC,Medium,5,1826.45,360.96,2187.41,2000.34,187.07,Ticketed,,103,Winter
BK-000025,2016-04-25,2016-08-30,Phone,Round-trip,Economy,UA,NBO,ORD,Long,2,1899.2,299.88,2199.08,2046.98,152.1,Ticketed,,127,Summer
BK-000026,2022-03-18,2022-04-21,Walk-in,One-way,Business,KU,KWI,IAD,VeryLong,1,5081.65,981.09,6062.74,6189.05,-126.31,Ticketed,,34,Spring
BK-000027,2016-09-26,2016-12-23,Online,One-way,Business,UK,HYD,SAW,Long,2,5592.2,613.12,6205.32,5963.32,242.0,Ticketed,,88,Winter
BK-000028,2021-03-27,2021-05-23,Phone,One-way,Business,QR,KWI,DOH,Short,3,1430.52,279.1,1709.62,1699.88,9.74,Cancelled,Changed plans,57,Spring
BK-000029,2019-11-24,2020-03-04,WhatsApp,Round-trip,Economy,PK,ICN,DAC,Long,6,5031.54,681.41,5712.95,4711.08,1001.87,Ticketed,,101,Spring
BK-000030,2022-09-14,2022-12-11,Corporate,One-way,Business,FZ,KWI,HAN,Long,2,5392.6,587.99,5980.59,5212.85,767.74,Ticketed,,88,Winter
BK-000031,2022-01-13,2022-03-03,Phone,One-way,Economy,EK,DMM,KRT,Long,1,420.01,43.88,463.89,380.79,83.1,Cancelled,Personal reason,49,Spring
BK-000032,2025-09-08,2025-10-27,Phone,One-way,PremiumEconomy,ME,KWI,TLV,Medium,3,863.07,142.7,1005.77,829.41,176.36,Ticketed,,49,Autumn
BK-000033,2019-03-17,2019-05-24,WhatsApp,One-way,First,EY,CMN,AUH,Long,1,3733.17,379.97,4113.14,3554.18,558.96,Ticketed,,68,Spring
BK-000034,2022-10-31,2022-11-09,WhatsApp,Multi-city,Economy,KQ,DAR,MED,Long,2,773.0,114.55,887.55,786.3,101.25,Ticketed,,9,Autumn
BK-000035,2020-07-31,2020-09-30,Online,One-way,Economy,BR,NRT,SKT,Long,1,429.25,80.98,510.23,438.56,71.67,Cancelled,Customer no-show,61,Autumn
BK-000036,2023-06-09,2023-07-06,WhatsApp,One-way,PremiumEconomy,KU,KWI,SKT,Medium,4,2540.96,429.15,2970.11,2555.73,414.38,Ticketed,,27,Summer
BK-000037,2017-07-09,2017-08-02,Online,Multi-city,Economy,G9,JED,HYD,Medium,2,1039.18,186.46,1225.64,1137.41,88.23,Ticketed,,24,Summer
BK-000038,2020-09-29,2020-11-26,WhatsApp,Round-trip,Business,BR,KWI,PEK,VeryLong,5,8662.4,1762.39,10424.79,9477.08,947.71,Cancelled,COVID restriction,58,Autumn
BK-000039,2019-11-27,2020-02-07,Online,One-way,Economy,UK,AUH,MUX,Medium,4,1790.6,342.34,2132.94,1995.86,137.08,Ticketed,,72,Winter
BK-000040,2023-11-01,2023-12-10,Walk-in,Round-trip,Business,NH,PEK,DAR,Long,2,4839.82,1040.21,5880.03,5500.12,379.91,Ticketed,,39,Winter
BK-000041,2024-11-19,2025-01-10,Online,One-way,PremiumEconomy,KU,KWI,ZRH,Long,2,4115.04,699.26,4814.3,4815.74,-1.44,Ticketed,,52,Winter
BK-000042,2023-12-10,2024-01-11,Online,One-way,Economy,WY,KWI,LAX,VeryLong,1,1262.47,137.94,1400.41,1194.09,206.32,Cancelled,Airline cancelled,32,Winter
