passenger_id,booking_id,passenger_type,gender,age,nationality,loyalty_member
P-000001-01,BK-000001,ADT,F,46,Kuwaiti,1
P-000002-01,BK-000002,ADT,M,20,Qatari,1
P-000002-02,BK-000002,ADT,M,72,Qatari,0
P-000003-01,BK-000003,ADT,M,70,Bahraini,0
P-000003-02,BK-000003,ADT,M,22,Bahraini,0
P-000003-03,BK-000003,ADT,F,49,Bangladeshi,0
P-000003-04,BK-000003,ADT,M,26,Saudi,1
P-000003-05,BK-000003,ADT,F,45,Omani,0
P-000004-01,BK-000004,ADT,F,25,Lebanese,0
P-000005-01,BK-000005,ADT,M,21,Canadian,1
P-000005-02,BK-000005,INF,F,0,Kenyan,0
P-000006-01,BK-000006,ADT,M,32,Kuwaiti,0
P-000006-02,BK-000006,ADT,M,58,Emirati,0
P-000006-03,BK-000006,ADT,F,20,Saudi,0
P-000006-04,BK-000006,CHD,F,6,Kuwaiti,0
P-000006-05,BK-000006,CHD,M,10,Sri Lankan,0
P-000007-01,BK-000007,ADT,M,46,Emirati,1
P-000008-01,BK-000008,ADT,M,36,Emirati,0
P-000008-02,BK-000008,ADT,M,52,Bahraini,0
P-000008-03,BK-000008,ADT,F,55,Bahraini,1
P-000008-04,BK-000008,ADT,M,51,Emirati,1
P-000008-05,BK-000008,ADT,M,23,Saudi,0
P-000008-06,BK-000008,ADT,M,61,Kuwaiti,0
P-000009-01,BK-000009,ADT,M,36,German,1
P-000010-01,BK-000010,ADT,F,65,Lebanese,0
P-000010-02,BK-000010,ADT,M,25,Bahraini,0
P-000010-03,BK-000010,ADT,F,71,Bahraini,0
P-000010-04,BK-000010,INF,F,0,Emirati,0
P-000011-01,BK-000011,ADT,M,35,Australian,1
P-000011-02,BK-000011,INF,M,0,New Zealander,0
P-000011-03,BK-000011,INF,M,0,New Zealander,0
P-000012-01,BK-000012,ADT,F,64,Nigerian,0
P-000012-02,BK-000012,CHD,M,10,Nigerian,0
P-000013-01,BK-000013,ADT,M,61,Qatari,0
P-000013-02,BK-000013,CHD,F,2,Qatari,0
P-000014-01,BK-000014,ADT,F,42,Pakistani,0
