segment_id,booking_id,leg_no,dep_airport,arr_airport,dep_city,arr_city,dep_date,flight_duration_min,stop_type
S-000001-01,BK-000001,1,SHJ,DAC,Sharjah,Dhaka,2023-03-02,220,Direct
S-000002-01,BK-000002,1,KWI,BEY,Kuwait City,Beirut,2016-03-17,216,Direct
S-000003-01,BK-000003,1,KWI,CMB,Kuwait City,Colombo,2023-07-14,215,Direct
S-000004-01,BK-000004,1,KWI,CAI,Kuwait City,Cairo,2017-12-01,100,Direct
S-000004-02,BK-000004,2,CAI,KWI,Cairo,Kuwait City,2017-12-27,167,Direct
S-000005-01,BK-000005,1,CMN,YYZ,Casablanca,Toronto,2025-12-10,500,Direct
S-000005-02,BK-000005,2,YYZ,CMN,Toronto,Casablanca,2026-01-06,282,Connection
S-000006-01,BK-000006,1,KWI,MAA,Kuwait City,Chennai,2022-12-09,242,Direct
S-000006-02,BK-000006,2,MAA,KWI,Chennai,Kuwait City,2023-01-06,284,Connection
S-000007-01,BK-000007,1,DXB,BAH,Dubai,Manama,2019-09-06,129,Direct
S-000008-01,BK-000008,1,KWI,DMM,Kuwait City,Dammam,2020-10-12,91,Direct
S-000008-02,BK-000008,2,DMM,BAH,Dammam,Manama,2020-10-22,100,Direct
S-000009-01,BK-000009,1,KWI,MXP,Kuwait City,Milan,2018-01-31,480,Direct
S-000009-02,BK-000009,2,MXP,BNE,Milan,Brisbane,2018-02-03,490,Direct
S-000010-01,BK-000010,1,KWI,AMM,Kuwait City,Amman,2019-07-12,191,Connection
S-000011-01,BK-000011,1,BAH,MEL,Manama,Melbourne,2020-01-05,935,Direct
S-000011-02,BK-000011,2,MEL,BAH,Melbourne,Manama,2020-02-03,816,Connection
S-000012-01,BK-000012,1,ALG,AMM,Algiers,Amman,2025-05-19,480,Direct
S-000012-02,BK-000012,2,AMM,ALG,Amman,Algiers,2025-05-30,261,Direct
S-000013-01,BK-000013,1,AUH,SAW,Abu Dhabi,Istanbul-SAW,2023-12-26,353,Direct
S-000013-02,BK-000013,2,SAW,LAX,Istanbul-SAW,Los Angeles,2024-01-04,422,Connection
S-000013-03,BK-000013,3,LAX,GRU,Los Angeles,Sao Paulo,2024-01-08,418,Connection
S-000014-01,BK-000014,1,RUH,DEL,Riyadh,New Delhi,2023-06-29,211,Direct
S-000015-01,BK-000015,1,KWI,LOS,Kuwait City,Lagos,2019-10-03,385,Direct
S-000015-02,BK-000015,2,LOS,KWI,Lagos,Kuwait City,2019-10-23,320,Connection
S-000016-01,BK-000016,1,KWI,HAN,Kuwait City,Hanoi,2021-08-23,444,Direct
S-000017-01,BK-000017,1,NJF,SGN,Najaf,Ho Chi Minh,2017-02-16,260,Direct
S-000017-02,BK-000017,2,SGN,NJF,Ho Chi Minh,Najaf,2017-02-26,301,Direct
S-000018-01,BK-000018,1,KWI,VIE,Kuwait City,Vienna,2023-04-13,317,Direct
S-000018-02,BK-000018,2,VIE,KWI,Vienna,Kuwait City,2023-04-26,303,Direct
S-000019-01,BK-000019,1,JED,MAN,Jeddah,Manchester,2021-08-25,383,Connection
S-000019-02,BK-000019,2,MAN,JED,Manchester,Jeddah,2021-09-03,390,Direct
S-000020-01,BK-000020,1,KWI,CMB,Kuwait City,Colombo,2022-02-15,296,Direct
S-000021-01,BK-000021,1,JED,ATH,Jeddah,Athens,2019-05-04,402,Direct
S-000021-02,BK-000021,2,ATH,JED,Athens,Jeddah,2019-05-25,461,Direct
S-000022-01,BK-000022,1,ATH,TBS,Athens,Tbilisi,2018-04-15,360,Direct
S-000022-02,BK-000022,2,TBS,ATH,Tbilisi,Athens,2018-05-13,250,Direct
S-000023-01,BK-000023,1,KWI,KHI,Kuwait City,Karachi,2025-03-20,293,Direct
S-000024-01,BK-000024,1,KWI,DAC,Kuwait City,Dhaka,2024-12-20,304,Connection
S-000024-02,BK-000024,2,DAC,KWI,Dhaka,Kuwait City,2025-01-12,241,Direct
S-000025-01,BK-000025,1,NBO,ORD,Nairobi,Chicago,2016-08-30,379,Direct
S-000025-02,BK-000025,2,ORD,NBO,Chicago,Nairobi,2016-09-02,322,Direct
S-000026-01,BK-000026,1,KWI,IAD,Kuwait City,Washington DC,2022-04-21,664,Direct
S-000027-01,BK-000027,1,HYD,SAW,Hyderabad,Istanbul-SAW,2016-12-23,591,Connection
S-000028-01,BK-000028,1,KWI,DOH,Kuwait City,Doha,2021-05-23,80,Connection
S-000029-01,BK-000029,1,ICN,DAC,Seoul,Dhaka,2020-03-04,273,Direct
S-000029-02,BK-000029,2,DAC,ICN,Dhaka,Seoul,2020-03-17,441,Direct
S-000030-01,BK-000030,1,KWI,HAN,Kuwait City,Hanoi,2022-12-11,367,Direct
S-000031-01,BK-000031,1,DMM,KRT,Dammam,Khartoum,2022-03-03,486,Connection
S-000032-01,BK-000032,1,KWI,TLV,Kuwait City,Tel Aviv,2025-10-27,117,Direct
S-000033-01,BK-000033,1,CMN,AUH,Casablanca,Abu Dhabi,2019-05-24,407,Direct
S-000034-01,BK-000034,1,DAR,MED,Dar es Salaam,Medina,2022-11-09,452,Direct
S-000034-02,BK-000034,2,MED,ADL,Medina,Adelaide,2022-11-17,750,Direct
S-000034-03,BK-000034,3,ADL,MED,Adelaide,Medina,2022-11-27,810,Direct
S-000035-01,BK-000035,1,NRT,SKT,Tokyo,Sialkot,2020-09-30,358,Direct
S-000036-01,BK-000036,1,KWI,SKT,Kuwait City,Sialkot,2023-07-06,203,Direct
