route_band,cabin,pax_count,region,origin_region,total_duration,booking_month,stop_type,airline,total_legs,booking_dayofweek,lead_time_days,loyalty_members,destination,origin_city,city,home_region,booking_year,trip_type,payment_method,origin,nationality,airline_name,gender
1,3,1,8,5,220,2,1,54,1,1,3,1,22,68,22,5,2023,1,3,71,22,34,0
1,1,2,6,5,216,2,1,30,1,6,29,1,9,41,12,6,2016,1,3,46,30,33,1
1,3,5,8,5,215,5,1,49,1,6,58,1,20,41,19,8,2023,1,2,46,2,53,1
1,1,1,6,5,267,11,1,27,2,2,13,0,16,41,15,5,2017,2,5,46,23,30,0
0,1,2,1,0,782,11,1,14,2,1,23,1,80,16,77,0,2025,2,1,21,6,17,1
1,3,5,8,5,526,11,1,0,2,1,32,0,51,41,17,8,2022,2,2,46,22,24,1
2,3,1,5,5,129,8,1,13,1,1,32,1,7,24,47,5,2019,1,4,27,9,16,1
2,1,6,5,5,191,9,1,45,2,2,37,2,25,41,20,5,2020,0,3,46,9,42,1
0,0,1,4,5,970,12,1,18,2,3,52,1,59,41,52,5,2017,0,3,46,13,1,1
1,3,4,6,5,191,5,0,45,1,2,48,0,3,41,4,5,2019,1,3,46,23,42,0
3,1,3,2,5,1751,10,1,23,2,1,83,1,56,47,51,2,2019,2,5,7,1,26,1
0,1,2,6,0,741,2,1,26,2,6,103,0,3,3,4,0,2025,2,2,2,27,28,0
0,0,2,4,5,1193,12,1,47,3,3,16,0,69,0,33,4,2023,0,1,6,30,49,1
1,1,4,8,5,211,6,1,45,1,6,8,1,24,63,58,5,2023,1,0,68,29,42,0
0,0,1,0,5,705,8,1,13,2,4,49,0,50,41,42,5,2019,2,3,46,30,16,1
0,0,4,7,5,444,7,1,27,1,6,26,1,32,41,26,5,2021,1,2,46,15,30,1
0,1,1,7,6,561,1,1,5,2,4,21,1,70,57,27,7,2017,2,1,61,11,6,1
0,0,4,4,5,620,2,1,27,2,5,44,1,79,41,78,5,2023,2,0,46,22,30,0
0,1,2,4,5,773,7,0,45,2,1,51,0,53,35,48,5,2021,2,3,40,13,42,1
1,1,2,8,5,296,1,1,17,1,4,40,0,20,41,19,5,2022,1,3,46,34,19,0
0,1,6,4,5,863,3,1,29,2,3,62,1,5,35,6,4,2019,2,3,40,31,47,1
